"wetland_id","ACFL","AMCR","AMGO","AMKE","AMRE","BACS","BADO","BAEA","BARS","BBWD","BCNH","BEKI","BGGN","BHCO","BHNU","BLGR","BLJA","BLVU","BNST","BRTH","BTGR","CACH","CAEG","CARW","CEDW","CGDO","CHSW","COGA","COGR","CONI","COYE","CWWI","DOWO","EABL","EAKI","EAME","EAPH","EATO","EAWP","FICR","FISP","GBHE","GCFL","GRCA","GREG","GRHE","HOFI","HOWA","HOWR","INBU","KEWA","KILL","LAGU","LBHE","LESA","LOSH","LOWA","MALL","MIKI","MODO","NOBO","NOCA","NOFL","NOMO","NOPA","NRWS","OROR","OSPR","PABU","PIWA","PIWO","PRAW","PROW","PUMA","RBWO","REVI","RHWO","ROYT","RSHA","RTHA","RTHU","RWBL","SCTA","STKI","SUTA","TRES","TRHE","TUTI","WBNU","WEVI","WEWA","WHIB","WITU","WODU","WOTH","YBCH","YBCU","YCNH","YTVI","YTWA"
"HH01",0,0.0212765957446809,0,0,0,0,0,0.0851063829787234,0,0.170212765957447,0,0,0,0,0.0425531914893617,0.48936170212766,0.148936170212766,0.0212765957446809,0,0.127659574468085,0.0212765957446809,0.0212765957446809,0,0.0425531914893617,0,0,0,0,0,0,0.148936170212766,0,0.0638297872340425,0.191489361702128,0.0638297872340425,0.0212765957446809,0,0,0,0,0,0,0.191489361702128,0,0,0.0425531914893617,0.0212765957446809,0,0,0.48936170212766,0,0.0212765957446809,0.0851063829787234,0,0.0212765957446809,0.0212765957446809,0,0,0,0,0.574468085106383,0,0,0.234042553191489,0,0.0212765957446809,0.723404255319149,0.0425531914893617,0.446808510638298,0.170212765957447,0.0212765957446809,0.0212765957446809,0,0.0638297872340425,0.0212765957446809,0,0.0638297872340425,0.0212765957446809,0.0425531914893617,0.0851063829787234,0,0,0,0,0.0425531914893617,0,0,0.170212765957447,0.0425531914893617,0,0,0,0,0,0,0.148936170212766,0,0,0.0425531914893617,0
"HH02",0,0,0,0,0,0.0192307692307692,0.0961538461538462,0.0192307692307692,0,0,0,0,0.134615384615385,0,0.0961538461538462,0.153846153846154,0.0384615384615385,0,0,0.0192307692307692,0,0.0769230769230769,0,0.192307692307692,0.0192307692307692,0.0192307692307692,0,0,0,0,0.0192307692307692,0,0.134615384615385,0.0192307692307692,0,0,0,0.0576923076923077,0,0,0,0.0576923076923077,0.346153846153846,0,0.0961538461538462,0.0384615384615385,0,0.0192307692307692,0,0.307692307692308,0.269230769230769,0,0.0576923076923077,0,0,0.0192307692307692,0,0,0,0,0.288461538461538,0,0.0192307692307692,0.0192307692307692,0.0769230769230769,0,0.0576923076923077,0.0576923076923077,0.384615384615385,0.0192307692307692,0.0576923076923077,0.0192307692307692,0,0,0.192307692307692,0,0.115384615384615,0,0,0.0192307692307692,0,0,0.0576923076923077,0,0.307692307692308,0,0,0.442307692307692,0,0.0384615384615385,0.173076923076923,0,0,0,0.0192307692307692,0.115384615384615,0.192307692307692,0,0.0576923076923077,0.288461538461538
"HH04",0,0.0217391304347826,0,0.0217391304347826,0,0.217391304347826,0.0652173913043478,0,0,0,0,0.0217391304347826,0.5,0,0,0.369565217391304,0.0869565217391304,0.0652173913043478,0,0.0652173913043478,0,0.130434782608696,0,0.391304347826087,0,0,0,0.0434782608695652,0,0,0.0217391304347826,0,0.0217391304347826,0.195652173913043,0.0652173913043478,0,0,0,0.130434782608696,0,0,0.0434782608695652,0.326086956521739,0,0,0.0869565217391304,0,0.391304347826087,0.0434782608695652,0.0869565217391304,0.456521739130435,0,0.0869565217391304,0,0,0,0,0,0.173913043478261,0,0.108695652173913,0.0217391304347826,0,0.0217391304347826,0,0,0.130434782608696,0,0.543478260869565,0.0869565217391304,0.152173913043478,0.0652173913043478,0.0869565217391304,0,0.108695652173913,0.130434782608696,0.0434782608695652,0,0.0869565217391304,0.130434782608696,0,0,0.695652173913043,0,0.978260869565217,0,0,0.152173913043478,0.217391304347826,0.108695652173913,0.130434782608696,0,0,0,0,0.304347826086957,0.326086956521739,0,0.347826086956522,0.0217391304347826
"HH05",0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0.153846153846154,0,0,0.538461538461538,0,0.0769230769230769,0,0,0,0,0,0.230769230769231,0,0,0,0,0,0,0.0769230769230769,0.230769230769231,0,0,0,0,0,0.153846153846154,0,0.0769230769230769,0,0,0.692307692307692,0,0,0,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0.615384615384615,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0.153846153846154,0,0.692307692307692,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0.0769230769230769,0,0,0.153846153846154,0
"HH14",0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0.0416666666666667,0.0833333333333333,0.208333333333333,0.833333333333333,0,0.0416666666666667,0,0.125,0,0.458333333333333,0,0,0,0.0833333333333333,0,0,0.25,0,0,0,0.208333333333333,0.5,0.125,0,0,0.0416666666666667,0.583333333333333,0,0.25,0.0833333333333333,0.125,0.0416666666666667,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.458333333333333,0.0416666666666667,0.833333333333333,0,0.0833333333333333,0,0,0,0.0416666666666667,0,0.416666666666667,0.666666666666667,0.125,0,0,0.0833333333333333,0.166666666666667,0,0.291666666666667,0,0,0.0416666666666667,0,0,0,0,0.208333333333333,0,0,0.125,0,0,0,0,0,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0,0,0.0416666666666667
"HH17",0,0.04,0,0,0,0,0.16,0,0,0.16,0,0,0,0,0.28,0,0.04,0.04,0,0,0,0.08,0,0,0,0,0,0,0.12,0.04,0.24,0,0.04,0.04,0,0,0,0.44,0.4,0,0,0.04,0.24,0,0,0.12,0,0.32,0,0,0,0,0,0,0,0,0,0,0.08,0,0.72,0,0,0,0,0,0.04,0,0.4,0.08,0.12,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.12,0.16,0,0,0
"HH22",0,0,0,0,0,0.538461538461538,0.307692307692308,0,0,0,0,0,0.0769230769230769,0,0,0.384615384615385,0,0,0,0,0,0.0769230769230769,0,0.0769230769230769,0,0,0,0,0.0769230769230769,0,0.153846153846154,0,0,0,0,0,0,0.307692307692308,0.615384615384615,0,0,0,0.307692307692308,0,0,0,0,0,0,0.384615384615385,0,0,0,0,0,0,0,0,0.461538461538462,0,0.153846153846154,0,0,0,0,0,0,0,0.307692307692308,0,0,0.153846153846154,0,0,0.230769230769231,0,0,0,0,0,0,0,0,0,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769
"HH30",0,0,0,0.0444444444444444,0,0,0.0888888888888889,0,0,0.0222222222222222,0,0.0222222222222222,0,0.0222222222222222,0.0666666666666667,0.355555555555556,0,0,0.0222222222222222,0,0,0.0222222222222222,0,0,0,0,0,0,0.0444444444444444,0,0.644444444444444,0,0,0.266666666666667,0,0,0,0.111111111111111,0.244444444444444,0,0.0444444444444444,0.0444444444444444,0.0666666666666667,0,0,0.0666666666666667,0,0.155555555555556,0.0666666666666667,0.0222222222222222,0,0,0.0888888888888889,0,0,0,0,0,0.222222222222222,0.155555555555556,0.888888888888889,0,0.0444444444444444,0.0444444444444444,0,0,0.377777777777778,0,0.911111111111111,0.0222222222222222,0.111111111111111,0,0,0,0.0222222222222222,0,0.311111111111111,0.0222222222222222,0,0,0,0,0,0,0.422222222222222,0,0,0,0,0,0,0,0,0,0,0.6,0.177777777777778,0.0222222222222222,0.0444444444444444,0
"HH31",0,0,0,0.0769230769230769,0,0,0.615384615384615,0,0,0,0,0.153846153846154,0,0.153846153846154,0.153846153846154,0.538461538461538,0,0,0,0.461538461538462,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0.384615384615385,0.307692307692308,0,0,0.307692307692308,0.230769230769231,0,0.538461538461538,0.0769230769230769,0,0,0,0.0769230769230769,0,0.615384615384615,0,0.0769230769230769,0,0,0.0769230769230769,0.0769230769230769,0,0,0,0,0.153846153846154,0.384615384615385,0.923076923076923,0,0,0,0.0769230769230769,0.0769230769230769,0.538461538461538,0,1,0.615384615384615,0,0.230769230769231,0,0,0.0769230769230769,0,0.307692307692308,0,0.153846153846154,0,0,0,0,0,0.461538461538462,0,0,0,0,0,0,0,0,0,0,0.846153846153846,0.153846153846154,0,0.230769230769231,0.307692307692308
"HH33",0.0512820512820513,0,0,0,0,0,0.333333333333333,0,0,0.0512820512820513,0,0.0256410256410256,0.307692307692308,0,0,0.384615384615385,0.0512820512820513,0,0,0,0,0.230769230769231,0,0.0512820512820513,0,0,0,0,0,0,0.333333333333333,0,0.0769230769230769,0.128205128205128,0,0,0,0.0769230769230769,0.538461538461538,0,0,0,0.256410256410256,0,0,0.102564102564103,0,0.230769230769231,0.0256410256410256,0.0256410256410256,0,0,0.0512820512820513,0,0,0,0,0.0256410256410256,0.333333333333333,0.102564102564103,0.487179487179487,0,0.0512820512820513,0,0,0,0.0256410256410256,0,0.564102564102564,0.153846153846154,0.153846153846154,0.0512820512820513,0,0,0.128205128205128,0,0.333333333333333,0,0.0256410256410256,0,0.0256410256410256,0,0.0256410256410256,0,0.230769230769231,0,0,0.0256410256410256,0.0769230769230769,0,0,0,0,0,0,0.282051282051282,0.256410256410256,0.0512820512820513,0.128205128205128,0.256410256410256
